# Created by Octave 3.6.4  Fri Dec 05 01:25:37 2014 GMT <maxx@maxx-K52Jc>
# name: X
# type: matrix
# rows: 278 
# columns: 7
30 10 5 19 0 562.36 3
29 10 4 8.72 0 581.36 3
27 10 2 26.98 0 590.08 3
27 10 2 19.72 0 617.06 3
27 10 2 0 576.6 636.78 0
22 10 4 17.28 0 60.18 3
21 10 3 6.6 0 77.46 3
21 10 3 2.68 0 84.06 3
21 10 3 40.24 0 86.74 3
21 10 3 2 0 126.98 3
17 10 6 26.47 0 128.98 3
17 10 6 50 0 155.45 1
16 10 5 0 200 205.45 0
16 10 5 9 0 5.45 3
15 10 4 6.2 0 14.45 3
15 10 4 5.65 0 20.65 3
15 10 4 100 0 26.3 1
13 10 2 8.82 0 126.3 3
13 10 2 7.9 0 135.12 3
13 10 2 100 0 143.02 1
13 10 2 100 0 243.02 1
13 10 2 100 0 343.02 1
10 10 6 76.96 0 443.02 3
10 10 6 22.58 0 519.98 3
10 10 6 13 0 542.56 3
10 10 6 100 0 555.56 1
10 10 6 0 500 655.56 0
7 10 3 23.54 0 155.56 3
7 10 3 164.98 0 179.1 3
6 10 2 5.29 0 344.08 3
6 10 2 20.81 0 349.37 3
6 10 2 0 352.31 370.18 0
1 10 4 20 0 17.87 1
1 10 4 2.69 0 37.87 3
1 10 4 475 0 40.56 2
30 9 3 1 0 515.56 3
30 9 3 0.67 0 516.56 3
30 9 3 22.71 0 517.23 3
29 9 2 16.5 0 539.94 3
29 9 2 25 0 556.44 3
29 9 2 0 575 581.44 0
26 9 6 27.17 0 6.44 3
26 9 6 20 0 33.61 1
24 9 4 4.69 0 53.61 3
23 9 3 13.4 0 58.3 3
22 9 2 69.98 0 71.7 3
22 9 2 7.5 0 141.68 3
22 9 2 30 0 149.18 1
22 9 2 0 100 179.18 0
19 9 6 30 0 79.18 1
19 9 6 7.77 0 109.18 3
19 9 6 0 100 116.95 0
19 9 6 10 0 16.95 1
15 9 2 10 0 26.95 3
15 9 2 30 0 36.95 1
12 9 6 2.99 0 66.95 3
8 9 2 13.36 0 69.94 3
8 9 2 10 0 83.3 3
8 9 2 20 0 93.3 1
8 9 2 0 90 113.3 0
5 9 6 20 0 23.3 1
1 9 2 31.09 0 43.3 3
1 9 2 475 0 74.39 2
1 9 2 0 50 549.39 0
1 9 2 20 0 499.39 1
1 9 2 80 0 519.39 1
1 9 2 0 560 599.39 0
28 8 5 2 0 39.39 3
26 8 3 70 0 41.39 1
26 8 3 0 100 111.39 0
22 8 6 10 0 11.39 1
22 8 6 2.97 0 21.39 3
21 8 5 10 0 24.36 3
19 8 3 13.52 0 34.36 3
18 8 2 2.5 0 47.88 3
15 8 6 20 0 50.38 1
15 8 6 75 0 70.38 3
12 8 3 44 0 145.38 3
11 8 2 33.5 0 189.38 3
11 8 2 0 50 222.88 0
4 8 2 250 0 172.88 1
1 8 6 200 0 422.88 1
1 8 6 475 0 622.88 2
31 7 5 0 1075 1097.88 0
28 7 2 10 0 22.88 3
25 7 6 60 0 32.88 1
25 7 6 0 90 92.88 0
23 7 4 6 0 2.88 3
23 7 4 5.25 0 8.88 3
23 7 4 3.99 0 14.13 3
23 7 4 10 0 18.12 1
21 7 2 0 10 28.12 0
21 7 2 50 0 18.12 3
21 7 2 0 50 68.12 0
18 7 6 10 0 18.12 1
18 7 6 10 0 28.12 1
17 7 5 1 0 38.12 3
17 7 5 0.33 0 39.12 3
17 7 5 11.1 0 39.45 3
16 7 4 49.33 0 50.55 3
16 7 4 9 0 99.88 3
14 7 2 0 52 108.88 0
14 7 2 31 0 56.88 3
14 7 2 20 0 87.88 3
10 7 5 0 100 107.88 0
7 7 2 29.99 0 7.88 3
7 7 2 10 0 37.87 3
7 7 2 10 0 47.87 3
7 7 2 3.49 0 57.87 3
7 7 2 40 0 61.36 1
1 7 3 29.99 0 101.36 3
1 7 3 28.44 0 131.35 3
1 7 3 475 0 159.79 2
30 6 2 0 50 634.79 0
30 6 2 0 475 584.79 0
30 6 2 16.93 0 109.79 3
30 6 2 3 0 126.72 3
30 6 2 10 0 129.72 3
30 6 2 6.15 0 139.72 3
30 6 2 200 0 145.87 1
30 6 2 0 200 345.87 0
30 6 2 0 50 145.87 0
24 6 3 50 0 95.87 3
24 6 3 1 0 145.87 3
24 6 3 0.77 0 146.87 3
24 6 3 25.79 0 147.64 3
23 6 2 0 100 173.43 0
20 6 6 1 0 73.43 3
20 6 6 0.4 0 74.43 3
20 6 6 13.64 0 74.83 3
17 6 3 2 0 88.47 3
17 6 3 1.27 0 90.47 3
17 6 3 42.76 0 91.74 3
16 6 2 2 0 134.5 3
16 6 2 1.55 0 136.5 3
16 6 2 52.03 0 138.05 3
16 6 2 0 95 190.08 0
13 6 6 2 0 95.08 3
13 6 6 3.12 0 97.08 3
13 6 6 104.35 0 100.2 3
10 6 3 26 0 204.55 3
9 6 2 2 0 230.55 3
9 6 2 2.06 0 232.55 3
9 6 2 68.92 0 234.61 3
9 6 2 2 0 303.53 3
9 6 2 34.33 0 305.53 3
5 6 5 10 0 339.86 3
5 6 5 20 0 349.86 1
4 6 4 0 300 369.86 0
3 6 3 20 0 69.86 1
2 6 2 10 0 89.86 3
2 6 2 475 0 99.86 2
29 5 5 10.59 0 574.86 3
27 5 3 10 0 585.45 3
27 5 3 0 475 595.45 0
23 5 6 10 0 120.45 3
23 5 6 50 0 130.45 1
20 5 3 19.29 0 180.45 3
20 5 3 9.5 0 199.74 3
20 5 3 8.93 0 209.24 3
16 5 6 21.64 0 218.17 3
7 5 4 90.01 0 239.81 3
7 5 4 62.03 0 329.82 3
7 5 4 39.99 0 391.85 3
6 5 3 0 200 431.84 0
1 5 5 450 0 231.84 2
28 4 2 2 0 681.84 3
28 4 2 1.98 0 683.84 3
28 4 2 66.39 0 685.82 3
24 4 5 0 450 752.21 0
22 4 3 2 0 302.21 3
22 4 3 3.75 0 304.21 3
22 4 3 125.59 0 307.96 3
22 4 3 2 0 433.55 3
22 4 3 1.98 0 435.55 3
22 4 3 66.28 0 437.53 3
22 4 3 2 0 503.81 3
22 4 3 1.98 0 505.81 3
22 4 3 66.28 0 507.79 3
22 4 3 2 0 574.07 3
22 4 3 1.98 0 576.07 3
22 4 3 66.28 0 578.05 3
16 4 4 9 0 644.33 3
15 4 3 1 0 653.33 3
15 4 3 3.42 0 654.33 3
15 4 3 114.49 0 657.75 3
15 4 3 0 650 772.24 0
14 4 2 1 0 122.24 3
14 4 2 0.04 0 123.24 3
14 4 2 1.44 0 123.28 3
4 4 6 58 0 124.72 3
3 4 5 450 0 182.72 2
2 4 4 0 450 632.72 0
31 3 2 16.82 0 182.72 3
31 3 2 10 0 199.54 3
31 3 2 3.68 0 209.54 3
28 3 6 3 0 213.22 3
28 3 6 1 0 216.22 3
28 3 6 0.39 0 217.22 3
28 3 6 13.23 0 217.61 3
28 3 6 250 0 230.84 1
28 3 6 0 400 480.84 0
27 3 5 20 0 80.84 1
27 3 5 15.16 0 100.84 3
27 3 5 1.25 0 116 3
26 3 4 9.3 0 117.25 3
26 3 4 20 0 126.55 1
25 3 3 3 0 146.55 3
21 3 6 2.97 0 149.55 3
21 3 6 75.75 0 152.52 3
21 3 6 10 0 228.27 3
21 3 6 0 100 238.27 0
