# Created by Octave 3.6.4  Fri Dec 05 01:25:37 2014 GMT <maxx@maxx-K52Jc>
# name: X
# type: matrix
# rows: 278 
# columns: 6
30 10 5 19 0 562.36
29 10 4 8.72 0 581.36
27 10 2 26.98 0 590.08
27 10 2 19.72 0 617.06
27 10 2 0 576.6 636.78
22 10 4 17.28 0 60.18
21 10 3 6.6 0 77.46
21 10 3 2.68 0 84.06
21 10 3 40.24 0 86.74
21 10 3 2 0 126.98
17 10 6 26.47 0 128.98
17 10 6 50 0 155.45
16 10 5 0 200 205.45
16 10 5 9 0 5.45
15 10 4 6.2 0 14.45
15 10 4 5.65 0 20.65
15 10 4 100 0 26.3
13 10 2 8.82 0 126.3
13 10 2 7.9 0 135.12
13 10 2 100 0 143.02
13 10 2 100 0 243.02
13 10 2 100 0 343.02
10 10 6 76.96 0 443.02
10 10 6 22.58 0 519.98
10 10 6 13 0 542.56
10 10 6 100 0 555.56
10 10 6 0 500 655.56
7 10 3 23.54 0 155.56
7 10 3 164.98 0 179.1
6 10 2 5.29 0 344.08
6 10 2 20.81 0 349.37
6 10 2 0 352.31 370.18
1 10 4 20 0 17.87
1 10 4 2.69 0 37.87
1 10 4 475 0 40.56
30 9 3 1 0 515.56
30 9 3 0.67 0 516.56
30 9 3 22.71 0 517.23
29 9 2 16.5 0 539.94
29 9 2 25 0 556.44
29 9 2 0 575 581.44
26 9 6 27.17 0 6.44
26 9 6 20 0 33.61
24 9 4 4.69 0 53.61
23 9 3 13.4 0 58.3
22 9 2 69.98 0 71.7
22 9 2 7.5 0 141.68
22 9 2 30 0 149.18
22 9 2 0 100 179.18
19 9 6 30 0 79.18
19 9 6 7.77 0 109.18
19 9 6 0 100 116.95
19 9 6 10 0 16.95
15 9 2 10 0 26.95
15 9 2 30 0 36.95
12 9 6 2.99 0 66.95
8 9 2 13.36 0 69.94
8 9 2 10 0 83.3
8 9 2 20 0 93.3
8 9 2 0 90 113.3
5 9 6 20 0 23.3
1 9 2 31.09 0 43.3
1 9 2 475 0 74.39
1 9 2 0 50 549.39
1 9 2 20 0 499.39
1 9 2 80 0 519.39
1 9 2 0 560 599.39
28 8 5 2 0 39.39
26 8 3 70 0 41.39
26 8 3 0 100 111.39
22 8 6 10 0 11.39
22 8 6 2.97 0 21.39
21 8 5 10 0 24.36
19 8 3 13.52 0 34.36
18 8 2 2.5 0 47.88
15 8 6 20 0 50.38
15 8 6 75 0 70.38
12 8 3 44 0 145.38
11 8 2 33.5 0 189.38
11 8 2 0 50 222.88
4 8 2 250 0 172.88
1 8 6 200 0 422.88
1 8 6 475 0 622.88
31 7 5 0 1075 1097.88
28 7 2 10 0 22.88
25 7 6 60 0 32.88
25 7 6 0 90 92.88
23 7 4 6 0 2.88
23 7 4 5.25 0 8.88
23 7 4 3.99 0 14.13
23 7 4 10 0 18.12
21 7 2 0 10 28.12
21 7 2 50 0 18.12
21 7 2 0 50 68.12
18 7 6 10 0 18.12
18 7 6 10 0 28.12
17 7 5 1 0 38.12
17 7 5 0.33 0 39.12
17 7 5 11.1 0 39.45
16 7 4 49.33 0 50.55
16 7 4 9 0 99.88
14 7 2 0 52 108.88
14 7 2 31 0 56.88
14 7 2 20 0 87.88
10 7 5 0 100 107.88
