#,Created,by,Octave,3.6.4,,Fri,Dec,5,01:36:16,2014,GMT,<maxx@maxx-K52Jc>
#,name:,P,,,,,,,,,,
#,type:,matrix,,,,,,,,,,
#,rows:,278,,,,,,,,,,
#,columns:,3,,,,,,,,,,
,131.35,131.816102453,0.466102453,,,,,,,,,
,99.86,96.0094146708,3.8505853292,,,,,,,,,
,97.17,102.1084244474,4.9384244474,,,,,,,,,
,89.86,96.0094146708,6.1494146708,,,,,,,,,
,137.17,144.8014928837,7.6314928837,,,,,,,,,
,110.28,102.1084244474,8.1715755526,,,,,,,,,
,190.08,181.3955515433,8.6844484567,,,,,,,,,
,111.71,102.1084244474,9.6015755526,,,,,,,,,
,179.1,168.4101611126,10.6898388874,,,,,,,,,
,90.78,102.1084244474,11.3284244474,,,,,,,,,
,155.56,168.4101611126,12.8501611126,,,,,,,,,
,74.39,89.9104048942,15.5204048942,,,,,,,,,
,231.84,215.6274975706,16.2125024294,,,,,,,,,
,204.55,186.7071904425,17.8428095575,,,,,,,,,
,113.3,132.6034733304,19.3034733304,,,,,,,,,
,143.02,163.0985222135,20.0785222135,,,,,,,,,
,80.78,102.1084244474,21.3284244474,,,,,,,,,
,159.79,131.816102453,27.973897547,,,,,,,,,
,135.12,163.0985222135,27.9785222135,,,,,,,,,
,239.81,210.3158586714,29.4941413286,,,,,,,,,
,101.36,131.816102453,30.456102453,,,,,,,,,
,110.72,144.8014928837,34.0814928837,,,,,,,,,
,126.3,163.0985222135,36.7985222135,,,,,,,,,
,209.24,247.6972882085,38.4572882085,,,,,,,,,
,189.38,150.9005026603,38.4794973397,,,,,,,,,
,179.18,217.9896102029,38.8096102029,,,,,,,,,
,93.3,132.6034733304,39.3034733304,,,,,,,,,
,60.78,102.1084244474,41.3284244474,,,,,,,,,
,302.21,259.8953077617,42.3146922383,,,,,,,,,
,138.05,181.3955515433,43.3455515433,,,,,,,,,
,304.21,259.8953077617,44.3146922383,,,,,,,,,
,136.5,181.3955515433,44.8955515433,,,,,,,,,
,182.72,227.8255171238,45.1055171238,,,,,,,,,
,184.56,230.1876297562,45.6276297562,,,,,,,,,
,123.28,169.1975319901,45.9175319901,,,,,,,,,
,123.24,169.1975319901,45.9575319901,,,,,,,,,
,43.3,89.9104048942,46.6104048942,,,,,,,,,
,134.5,181.3955515433,46.8955515433,,,,,,,,,
,122.24,169.1975319901,46.9575319901,,,,,,,,,
,199.74,247.6972882085,47.9572882085,,,,,,,,,
,307.96,259.8953077617,48.0646922383,,,,,,,,,
,138.4,187.4945613199,49.0945613199,,,,,,,,,
,83.3,132.6034733304,49.3034733304,,,,,,,,,
,173.43,224.0886199796,50.6586199796,,,,,,,,,
,135.15,187.4945613199,52.3445613199,,,,,,,,,
,145.38,198.9052099957,53.5252099957,,,,,,,,,
,87.17,144.8014928837,57.6314928837,,,,,,,,,
,480.84,422.2064590978,58.6335409022,,,,,,,,,
,108.88,169.1975319901,60.3175319901,,,,,,,,,
,69.94,132.6034733304,62.6634733304,,,,,,,,,
,209.54,272.8806981924,63.3406981924,,,,,,,,,
,81.26,144.8014928837,63.5414928837,,,,,,,,,
,172.88,108.207434224,64.672565776,,,,,,,,,
,61.36,126.5044635538,65.1444635538,,,,,,,,,
,121.52,187.4945613199,65.9745613199,,,,,,,,,
,78.46,144.8014928837,66.3414928837,,,,,,,,,
